Wavelength;Abs_001;Std.Dev_001;Abs_002;Std.Dev_002;Abs_004;Std.Dev_004;Abs_006;Std.Dev_006;Abs_008;Std.Dev_008;Abs_01;Std.Dev_01;Abs_03;Std.Dev_03;Abs_05;Std.Dev_05;Abs_08;Std.Dev_08;Abs_1;Std.Dev_1;Abs_2;Std.Dev_2;Abs_4;Std.Dev_4;Abs_6;Std.Dev_6;Abs_8;Std.Dev_8;Abs_acida;Std.Dev_acida;Abs_basica;Std.Dev_basica
706;5,69E-03;4,04E-05;5,97E-03;5,27E-05;7,97E-03;5,55E-05;1,71E-02;5,31E-05;8,18E-03;8,99E-05;8,81E-03;6,13E-05;8,62E-03;6,52E-05;8,77E-03;7,00E-05;8,36E-03;4,14E-05;8,73E-03;5,49E-05;1,15E-02;4,81E-05;1,65E-02;5,46E-05;1,86E-02;5,32E-05;1,81E-02;8,63E-05;1,31E-02;7,09E-05;1,59E-02;5,33E-05
707;5,47E-03;5,53E-05;5,71E-03;6,08E-05;7,88E-03;7,38E-05;1,72E-02;5,60E-05;7,77E-03;7,21E-05;8,62E-03;6,40E-05;8,26E-03;6,17E-05;8,47E-03;6,78E-05;8,03E-03;5,91E-05;8,48E-03;4,91E-05;1,11E-02;4,83E-05;1,64E-02;6,87E-05;1,80E-02;5,97E-05;1,74E-02;8,80E-05;1,33E-02;7,26E-05;1,51E-02;6,52E-05
708;5,23E-03;7,39E-05;5,42E-03;7,89E-05;7,60E-03;7,40E-05;1,70E-02;7,05E-05;7,57E-03;8,83E-05;8,39E-03;6,71E-05;8,00E-03;6,47E-05;8,29E-03;8,13E-05;7,66E-03;6,80E-05;8,19E-03;6,99E-05;1,09E-02;6,67E-05;1,62E-02;7,35E-05;1,76E-02;8,59E-05;1,71E-02;1,08E-04;1,35E-02;1,04E-04;1,44E-02;7,70E-05
709;4,98E-03;6,11E-05;5,19E-03;6,82E-05;7,36E-03;6,79E-05;1,68E-02;5,90E-05;7,36E-03;5,97E-05;8,18E-03;5,78E-05;7,79E-03;4,71E-05;8,03E-03;5,06E-05;7,53E-03;7,33E-05;8,01E-03;5,59E-05;1,05E-02;7,06E-05;1,56E-02;6,29E-05;1,75E-02;6,37E-05;1,69E-02;8,50E-05;1,35E-02;9,68E-05;1,39E-02;6,69E-05
710;4,73E-03;5,51E-05;4,85E-03;6,99E-05;7,09E-03;7,31E-05;1,64E-02;5,38E-05;7,09E-03;5,64E-05;7,86E-03;4,99E-05;7,41E-03;5,17E-05;7,67E-03;5,70E-05;7,40E-03;5,61E-05;7,65E-03;5,31E-05;1,02E-02;6,52E-05;1,51E-02;6,26E-05;1,71E-02;6,65E-05;1,65E-02;8,45E-05;1,34E-02;7,37E-05;1,33E-02;6,96E-05
711;4,63E-03;4,80E-05;4,67E-03;5,95E-05;6,96E-03;6,74E-05;1,65E-02;6,90E-05;6,80E-03;5,56E-05;7,69E-03;4,87E-05;7,21E-03;5,95E-05;7,52E-03;6,09E-05;7,01E-03;4,95E-05;7,45E-03;4,99E-05;9,92E-03;5,18E-05;1,49E-02;5,92E-05;1,67E-02;5,58E-05;1,61E-02;9,34E-05;1,35E-02;7,77E-05;1,28E-02;5,40E-05
712;4,56E-03;4,83E-05;4,66E-03;5,04E-05;6,95E-03;5,54E-05;1,64E-02;7,48E-05;6,79E-03;6,36E-05;7,65E-03;6,24E-05;7,16E-03;6,69E-05;7,42E-03;5,52E-05;6,95E-03;5,14E-05;7,40E-03;5,21E-05;9,85E-03;5,90E-05;1,46E-02;6,97E-05;1,64E-02;5,28E-05;1,60E-02;8,73E-05;1,37E-02;9,26E-05;1,24E-02;5,10E-05
713;4,09E-03;5,74E-05;4,32E-03;6,50E-05;6,46E-03;6,23E-05;1,57E-02;6,75E-05;6,35E-03;7,25E-05;7,23E-03;6,18E-05;6,70E-03;7,36E-05;7,03E-03;6,56E-05;6,57E-03;7,65E-05;7,02E-03;5,77E-05;9,31E-03;6,17E-05;1,41E-02;8,13E-05;1,61E-02;6,70E-05;1,56E-02;8,82E-05;1,33E-02;1,25E-04;1,17E-02;6,64E-05
714;4,07E-03;8,01E-05;4,20E-03;9,02E-05;6,31E-03;9,11E-05;1,57E-02;9,29E-05;6,21E-03;9,90E-05;7,16E-03;8,20E-05;6,52E-03;8,57E-05;6,90E-03;7,86E-05;6,51E-03;8,19E-05;6,93E-03;8,26E-05;9,11E-03;8,70E-05;1,40E-02;8,38E-05;1,59E-02;8,30E-05;1,54E-02;1,04E-04;1,34E-02;1,26E-04;1,14E-02;7,87E-05
715;3,96E-03;6,08E-05;4,08E-03;7,22E-05;6,25E-03;6,79E-05;1,58E-02;6,86E-05;6,06E-03;7,40E-05;7,09E-03;6,16E-05;6,41E-03;6,18E-05;6,76E-03;5,68E-05;6,33E-03;5,14E-05;6,86E-03;6,03E-05;9,02E-03;5,78E-05;1,39E-02;5,87E-05;1,58E-02;6,50E-05;1,52E-02;8,93E-05;1,35E-02;7,91E-05;1,11E-02;5,44E-05
