"0,001",,,,"0,002",,,,"0,004",,,,"0,006",,,,"0,008",,,,"0,01",,,,"0,03",,,,"0,05",,,,"0,08",,,,"0,1",,,,"0,2",,,,"0,4",,,,"0,6",,,,"0,8",,,,acida,,,,basica,,
Wavelength (nm),Absorbance (AU),Std.Dev.,,Wavelength (nm),Absorbance (AU),Std.Dev.,,Wavelength (nm),Absorbance (AU),Std.Dev.,,Wavelength (nm),Absorbance (AU),Std.Dev.,,Wavelength (nm),Absorbance (AU),Std.Dev.,,Wavelength (nm),Absorbance (AU),Std.Dev.,,Wavelength (nm),Absorbance (AU),Std.Dev.,,Wavelength (nm),Absorbance (AU),Std.Dev.,,Wavelength (nm),Absorbance (AU),Std.Dev.,,Wavelength (nm),Absorbance (AU),Std.Dev.,,Wavelength (nm),Absorbance (AU),Std.Dev.,,Wavelength (nm),Absorbance (AU),Std.Dev.,,Wavelength (nm),Absorbance (AU),Std.Dev.,,Wavelength (nm),Absorbance (AU),Std.Dev.,,Wavelength (nm),Absorbance (AU),Std.Dev.,,Wavelength (nm),Absorbance (AU),Std.Dev.
198,"6,36E-02","5,93E-02",,198,"9,47E-02","6,79E-02",,198,"6,51E-02","6,44E-02",,198,"-2,40E-02","6,92E-02",,198,"4,39E-02","5,85E-02",,198,"9,14E-02","7,08E-02",,198,"2,42E-02","5,91E-02",,198,"3,99E-02","6,47E-02",,198,"5,40E-03","5,66E-02",,198,"0,142304","7,46E-02",,198,"5,06E-02","5,93E-02",,198,"1,82E-02","6,50E-02",,198,"0,129937","7,50E-02",,198,"7,06E-02","6,49E-02",,198,"3,68E-02","6,21E-02",,198,"0,172991","6,18E-02"
199,"-2,60E-02","9,57E-02",,199,"-1,73E-02","9,54E-02",,199,"9,08E-02","0,110399",,199,"4,13E-02","0,109464",,199,"-5,22E-03","9,64E-02",,199,"6,51E-02","0,112137",,199,"-1,25E-02","9,91E-02",,199,"2,90E-03","0,123841",,199,"3,94E-02","0,101033",,199,"2,46E-02","0,106647",,199,"0,15257","9,85E-02",,199,"4,41E-02","0,106595",,199,"3,58E-02","9,95E-02",,199,"3,69E-02","0,114915",,199,"2,81E-02","9,94E-02",,199,"7,41E-03","0,106131"
200,"-1,52E-02","7,15E-02",,200,"4,16E-02","8,00E-02",,200,"0,166811","8,63E-02",,200,"5,87E-02","8,23E-02",,200,"1,82E-03","7,67E-02",,200,"0,131484","7,92E-02",,200,"7,75E-02","7,12E-02",,200,"2,78E-02","9,78E-02",,200,"0,114764","8,37E-02",,200,"0,145142","7,69E-02",,200,"3,01E-02","7,91E-02",,200,"7,08E-02","8,23E-02",,200,"0,107132","7,47E-02",,200,"0,130294","7,95E-02",,200,"-3,11E-02","7,40E-02",,200,"4,15E-02","8,45E-02"
201,"0,133429","6,91E-02",,201,"0,172192","7,27E-02",,201,"7,54E-02","6,69E-02",,201,"4,02E-02","8,06E-02",,201,"8,94E-02","9,26E-02",,201,"4,11E-02","6,76E-02",,201,"0,174005","5,76E-02",,201,"0,114076","6,95E-02",,201,"0,206844","8,52E-02",,201,"0,154044","6,80E-02",,201,"0,104158","6,30E-02",,201,"0,129261","9,58E-02",,201,"0,13384","7,10E-02",,201,"3,79E-02","8,30E-02",,201,"6,69E-02","7,62E-02",,201,"8,59E-02","9,46E-02"
202,"6,67E-02","6,10E-02",,202,"4,07E-03","6,52E-02",,202,"4,12E-02","7,24E-02",,202,"5,66E-02","7,84E-02",,202,"0,108541","6,59E-02",,202,"1,82E-02","8,40E-02",,202,"5,72E-02","5,55E-02",,202,"2,01E-02","5,85E-02",,202,"0,111848","6,72E-02",,202,"5,31E-04","5,88E-02",,202,"4,95E-02","5,87E-02",,202,"0,196396","6,95E-02",,202,"0,13397","5,78E-02",,202,"0,112961","7,21E-02",,202,"5,74E-02","8,22E-02",,202,"5,90E-02","6,94E-02"
203,"-3,87E-02","6,79E-02",,203,"3,94E-03","7,09E-02",,203,"2,50E-02","7,11E-02",,203,"2,48E-02","7,04E-02",,203,"2,70E-02","6,05E-02",,203,"3,32E-02","7,32E-02",,203,"-6,28E-02","6,62E-02",,203,"-2,45E-02","6,83E-02",,203,"-1,28E-02","6,66E-02",,203,"2,64E-02","6,15E-02",,203,"-2,73E-02","5,68E-02",,203,"-7,20E-02","6,64E-02",,203,"4,38E-02","5,71E-02",,203,"-3,69E-02","6,75E-02",,203,"-3,11E-02","6,33E-02",,203,"5,96E-04","6,72E-02"
204,"0,107714","6,78E-02",,204,"8,08E-02","6,39E-02",,204,"7,85E-02","7,19E-02",,204,"2,45E-02","6,93E-02",,204,"1,22E-02","5,57E-02",,204,"0,106611","7,26E-02",,204,"6,51E-02","6,99E-02",,204,"7,96E-02","7,61E-02",,204,"7,14E-02","6,57E-02",,204,"0,10217","7,19E-02",,204,"1,94E-02","5,96E-02",,204,"9,91E-02","6,29E-02",,204,"8,09E-02","5,47E-02",,204,"7,02E-02","7,41E-02",,204,"-4,05E-02","5,42E-02",,204,"1,92E-02","7,55E-02"
205,"-2,35E-02","7,47E-02",,205,"-3,75E-02","7,27E-02",,205,"5,01E-02","0,101094",,205,"-1,42E-02","7,37E-02",,205,"-7,83E-02","7,41E-02",,205,"-7,70E-03","8,26E-02",,205,"-4,28E-03","7,39E-02",,205,"2,52E-02","8,86E-02",,205,"9,54E-03","9,58E-02",,205,"0,147047","0,103391",,205,"5,44E-02","8,95E-02",,205,"-1,79E-02","8,24E-02",,205,"0,101377","7,73E-02",,205,"8,12E-02","8,30E-02",,205,"-6,21E-02","8,16E-02",,205,"2,85E-02","8,97E-02"
206,"-9,71E-02","8,81E-02",,206,"-3,75E-02","8,12E-02",,206,"-1,50E-02","9,75E-02",,206,"-2,11E-02","9,09E-02",,206,"4,69E-02","9,36E-02",,206,"-4,42E-02","9,89E-02",,206,"-4,15E-02","8,79E-02",,206,"2,34E-02","9,16E-02",,206,"3,24E-02","0,101033",,206,"-8,79E-02","0,100077",,206,"2,70E-02","8,43E-02",,206,"5,95E-03","9,37E-02",,206,"-1,41E-02","8,89E-02",,206,"-1,01E-03","0,118501",,206,"-6,21E-02","9,41E-02",,206,"-8,99E-03","9,28E-02"
207,"-8,78E-02","0,101881",,207,"-8,79E-02","7,80E-02",,207,"-4,55E-02","9,39E-02",,207,"3,86E-02","7,81E-02",,207,"2,14E-02","9,39E-02",,207,"-4,73E-03","9,44E-02",,207,"-2,61E-02","8,35E-02",,207,"3,20E-02","0,111593",,207,"3,08E-03","9,49E-02",,207,"5,98E-02","0,123148",,207,"-5,36E-02","8,34E-02",,207,"-7,03E-02","7,91E-02",,207,"-1,15E-02","8,91E-02",,207,"-5,84E-02","9,71E-02",,207,"-2,15E-02","8,65E-02",,207,"0,100677","9,19E-02"
